,Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
3846,DER_4,Ex,1648429349.292698,0.28,0.1,0,0.0,0.1,1.0,1,0,1,1648429349.292698,1648429349.292698,0.001,0.28,0.14,0.0,0,0,0,0.2481934729198171,0.0,100000.0,Do nothing
4807,DER_5,Ex,1648429356.1368,0.21,0.1,0,0.0,0.1,1.0,1,0,1,1648429356.1368,1648429356.1368,0.001,0.21,0.105,0.0,0,0,0,0.2467792535850613,0.0,100000.0,Do nothing
961,DER_1,Ex,1648429361.252076,0.23,0.1,0,0.0,0.1,1.0,1,0,1,1648429361.252076,1648429361.252076,0.001,0.23,0.115,0.0,0,0,0,0.2491987158875422,0.0,100000.0,Do nothing
2885,DER_3,Ex,1648429365.362746,0.4,0.1,0,0.0,0.1,1.0,1,0,1,1648429365.362746,1648429365.362746,0.001,0.4,0.2,0.0,0,0,0,0.1999999999999999,0.0,100000.0,Do nothing
8653,DER_9,Ex,1648429369.282019,0.35,0.1,0,0.0,0.1,1.0,1,0,1,1648429369.282019,1648429369.282019,0.001,0.35,0.175,0.0,0,0,0,0.229128784747792,0.0,100000.0,Do nothing
0,DER_0,Ex,1648429373.891295,0.36,0.1,0,0.0,0.1,1.0,1,0,1,1648429373.891295,1648429373.891295,0.001,0.36,0.18,0.0,0,0,0,0.2244994432064364,0.0,100000.0,Do nothing
6731,DER_7,Ex,1648429377.657302,0.17,0.1,0,0.0,0.1,1.0,1,0,1,1648429377.657302,1648429377.657302,0.001,0.17,0.085,0.0,0,0,0,0.2368543856465402,0.0,100000.0,Do nothing
7692,DER_8,Ex,1648429382.290218,0.15,0.1,0,0.0,0.1,1.0,1,0,1,1648429382.290218,1648429382.290218,0.001,0.15,0.075,0.0,0,0,0,0.229128784747792,0.0,100000.0,Do nothing
1922,DER_2,Ind,1648429406.885546,0.23,-1.0,0,0.1,0.1,1.0,0,1,1,1648429406.885546,1648429406.885546,0.001,0.23,0.115,0.0,0,0,0,0.2491987158875422,0.0,100000.0,Do nothing
5768,DCM_6,Ux,1648429465.65371,0.31,-1.0,0,0.1,0.1,1.0,0,1,1,1648429465.65371,1648429465.65371,0.001,0.31,0.155,0.0,0,0,0,0.2426932219902319,0.0,100000.0,Do nothing
3847,DCM_4,Ex,1648429949.292706,0.15,0.1,0,0.0,0.1,1.0,1,0,1,1648429949.292706,1648429949.292706,0.001,0.15,0.0499999999999999,0.0,0,0,0,0.1172603939955857,0.0,100000.0,Do nothing
4808,DCM_5,Ex,1648429956.136807,0.15,0.1,0,0.0,0.1,1.0,1,0,1,1648429956.136807,1648429956.136807,0.001,0.15,0.0499999999999999,0.0,0,0,0,0.1172603939955857,0.0,100000.0,Do nothing
962,DCM_1,Ex,1648429961.252084,0.23,0.1,0,0.0,0.1,1.0,1,0,1,1648429961.252084,1648429961.252084,0.001,0.23,0.0766666666666666,0.0,0,0,0,0.1090107028384522,0.0,100000.0,Do nothing
2886,DCM_3,Ex,1648429965.362753,0.42,0.1,0,0.0,0.1,1.0,1,0,1,1648429965.362753,1648429965.362753,0.001,0.42,0.1399999999999999,0.0,0,0,0,0.1349073756323204,0.0,100000.0,Do nothing
8654,DCM_9,Ex,1648429969.282027,0.34,0.1,0,0.0,0.1,1.0,1,0,1,1648429969.282027,1648429969.282027,0.001,0.34,0.1133333333333333,0.0,0,0,0,0.033665016461207,0.0,100000.0,Do nothing
1,DCM_0,Ex,1648429973.891302,0.4,0.1,0,0.0,0.1,1.0,1,0,1,1648429973.891302,1648429973.891302,0.001,0.4,0.1333333333333333,0.0,0,0,0,0.1154700538379252,0.0,100000.0,Do nothing
6732,DCM_7,Ex,1648429977.657311,0.43,0.1,0,0.0,0.1,1.0,1,0,1,1648429977.657311,1648429977.657311,0.001,0.43,0.1433333333333333,0.0,0,0,0,0.144164258168706,0.0,100000.0,Do nothing
7693,DCM_8,Ex,1648429982.290226,0.37,0.1,0,0.0,0.1,1.0,1,0,1,1648429982.290226,1648429982.290226,0.001,0.37,0.1233333333333333,0.0,0,0,0,0.0823609940040388,0.0,100000.0,Do nothing
1923,DTM_2,Dis,1648430006.885557,0.18,-1.0,0,0.1,0.1,1.0,0,1,1,1648430006.885557,1648430006.885557,0.001,0.18,0.06,0.0,0,0,0,0.1174734012447073,0.0,100000.0,Do nothing
